status,name,address,phone,email,first_name,last_name,job_title,website,category,google_rating,google_reviews
,Any Time HVAC Heating and Cooling,"1412 Broadway 21st floor, New York, NY 10018",6467599392,contact@anytime-hvac.net,,,,https://anytime-hvac.net/,HVAC contractor,5,5
,"Accurate Mechanical Works, Inc.","35 Worth St, New York, NY 10013",9294376640,,,,,https://accuratemechanicalworks.net/,HVAC contractor,5,3
,24/7 HVAC LOCAL OF MANHATTAN NYC ELITH,"150 W 46th St #5r, New York, NY 10036",5167017458,info@247hvaclongisland.com,,,,https://247hvacnyc.com/,HVAC contractor,5,8
,Vital HVAC & PTAC Solutions,"2131 Broadway 3nd floor, New York, NY 10023",5168546004,info@vitalptacsolutions.com,,,,http://www.vitalptacsolutions.com/,HVAC contractor,5,18
,Suburban HVAC Corp,"131 E 23rd St 3rd floor, New York, NY 10010",7185778606,info@suburbanhvacnyc.com,,,,http://www.suburbanhvacnyc.com/,Air conditioning contractor,5,1
,Call City HVAC Services.,"506 W 30th St 1st floor, New York, NY 10001",9179322034,info@ptacrepairqueens.com,,,,http://www.ptacrepairqueens.com/,Air conditioning contractor,5,4
,New York HVAC Services,"25 Sherman Ave 2nd floor, New York, NY 10040",6465775091,info@newyorkhvacservices.com,,,,http://www.newyorkhvacservices.com/,HVAC contractor,5,4
,New York Authorized Air Conditioning,"400 7th Ave 4th floor, New York, NY 10001",6313520204,info@newyorkauthorizedairconditioning.com,,,,http://www.newyorkauthorizedairconditioning.com/,HVAC contractor,5,3
,Weather Makers NYC,"244 5th Ave, New York, NY 10001",2127396817,info@weathermakers.nyc,,,,https://weathermakers.nyc/,HVAC contractor,4.9,106
,MN HVAC Heating & Air Conditioning,"41 Flatbush Ave #400, Brooklyn, NY 11217",3477973616,,,,,https://mnheatingairconditioning.xyz/,HVAC contractor,4.9,8
,Green Ductors,"15 Navigator Ct, Staten Island, NY 10309",8883341612,hello@greenductors.com,,,,https://greenductors.com/new-jersey/,,4.9,71
,Anthony & Sons Mechanical,"420 Lexington Ave Suite 300, New York, NY 10170",2122976106,info@anthonyandsonsmechanicalofny.com,,,,https://anthonyandsonsmechanicalofny.com/,HVAC contractor,4.9,15
,"A.J. Leto & Sons Plumbing, Heating & Air Conditioning","723 Innovation Way, Johnson City, NY 13790",6073649158,info@ajletoandsons.com,,,,https://ajletoandsons.com/,,4.9,578
,The Turner School,"145 W 30th St 6th Floor, New York, NY 10001",2127361507,info@turnerschool.com,,,,http://www.turnerschool.com/,School,4.9,511
,New York Heating and Air Conditioning,"198 Fairbanks Ave, Staten Island, NY 10306",7183567100,,,,,http://www.newyorkheatingsi.com/,HVAC contractor,4.9,113
,Same Day HVAC Inc.,,5166463508,,,,,https://www.samedayhvacservice.com/,Air duct cleaning service,4.8,6
,Isaac Heating & Air Conditioning,"50 Holleder Pkwy, Rochester, NY 14615",5855650852,dfisher@isaacheating.com,,,,https://www.isaacheating.com/,,4.8,4405
,Apollo HVAC & Controls Inc.,"228 Park Ave S, New York, NY 10003",7325888353,help@homeadvisor.com,,,,https://www.homeadvisor.com/rated.Drflowheatingcoolin.137512487.html,HVAC contractor,4.8,13
,C & C Air Conditioning and Heating,"752 NJ-36, Belford, NJ 07718",7328602564,info@candcair.com,,,,https://www.candcair.com/%3Futm_campaign%3Dgmb,HVAC contractor,4.8,2281
,Top New York HVAC Services,"110 E 60th St, New York, NY 10022",6468469755,,,,,https://usa-heating-ac-repair.com/new-york/,HVAC contractor,4.8,57
,HVAC Installation Repair and Cleaning,"456 W Broadway, New York, NY 10012",6464665496,,,,,https://hvac-irc.com/,HVAC contractor,4.8,21
,PJ Mechanical,"10 E 53rd St 4th Floor, New York, NY 10022",2122432555,info@pjmechanical.com,,,,https://www.pjmechanical.com/,HVAC contractor,4.7,59
,New York City Electricians,"50 St Marks Pl, New York, NY 10003",6463409882,impallari@gmail.com,,,,https://newyorkcityelectricianss.com/,HVAC contractor,4.7,54
,Boiling AC Repair and Maintenance,"49 Murray St 2nd floor, New York, NY 10007",6467590304,,,,,https://boilinghvac.com/,HVAC contractor,4.7,49
,Hitech PTAC Service,"123 Madison St 2nd floor, New York, NY 10002",9178100351,info@hitechptac.com,,,,https://www.hitechptac.com/,HVAC contractor,4.6,10
,Isaac Heating & Air Conditioning,"2780 Erie Blvd E, Syracuse, NY 13224",3155105956,comfort@isaacheating.com,,,,https://www.isaacheating.com/syracuse/,,4.5,377
,Pro Top HVAC Service,"301 W 21st St, New York, NY 10011",6466016886,,,,,https://protophvac.com/,HVAC contractor,4.5,28
,City Air Conditioning & Heating Repair | PTAC Installation NYC,"161 E 110th St, New York, NY 10029",9176403541,info@cityhvacrepairs.com,,,,https://cityhvacrepairs.com/,HVAC contractor,4.5,28
,WT HVAC EQP SUPPLY ( Daikin A/C Distributor ),"731 65th St, Brooklyn, NY 11220",3476626666,info@wtminisplit.com,,,,https://www.wthvac.com/,Heating equipment supplier,4.4,7
,Fujitsu Ductless Air Conditioning by Olympia,"118-17 15th Ave, College Point, NY 11356",9175595073,,,,,https://olympiaminisplits.com/,Air conditioning repair service,4.3,3
,Holden Air Conditioning Repair,"406 Bridge St, Brooklyn, NY 11201",9298225262,,,,,https://holdenacrepair.com/,HVAC contractor,4.3,7
,Equinox Air Conditioning,"101 W Broadway, New York, NY 10007",5165888414,,,,,https://equinoxairconditioning.com/tribeca/,HVAC contractor,4.3,13
,C R N HVAC & PTAC,"152 4th Ave, Brooklyn, NY 11217",5166961025,,,,,https://airconditionerinnyc.com/,Air conditioning contractor,4.3,11
,Ace Commercial Heating & Cooling,"452 W 19th St, New York, NY 10011",6465814848,,,,,https://acecommercialhvac.com/,HVAC contractor,4.3,15
,YORK MECHANICAL CORP.,"489 5th Ave, New York, NY 10017",2122440001,rick@yorkmechanical.com,,,,http://www.yorkmechanical.com/,HVAC contractor,4.3,6
,United Refrigeration Inc,"529 W 46th St, New York, NY 10001",2123679955,info@uri.com,,,,http://www.uri.com/,Air conditioning contractor,4.3,34
,Platinum Heating & Cooling,"160 Mott St apt 6e, New York, NY 10013",9084720966,info@platinumhvac.us,,,,https://platinumhvac.us/,Air conditioning contractor,4.2,20
,Cool Breeze Air Conditioning,"505 8th Ave #702, New York, NY 10018",6467985293,contact@coolbreeze-hc.com,,,,https://coolbreezeac.com/,HVAC contractor,4.2,19
,Donnelly Mechanical | Commercial HVAC Contractor,"96-59 222nd St, Queens Village, NY 11429",7188861500,info@donnellymech.com,,,,https://www.donnellymech.com/,HVAC contractor,4,37
,Village HVAC Repair & Maintenance,"72 A Ave 1st floor, New York, NY 10009",9295436179,,,,,https://village-hvac.com/,HVAC contractor,4,58
,Bronson Up Heating & AC Services,"51 Beaver St, New York, NY 10004",6467984038,,,,,https://bronsonuphvacservices.com/,HVAC contractor,4,8
,Zone Heating And Air Conditioning,"345 W 36th St., New York, NY 10018",5168200116,,,,,http://zoneairconditioning.com,HVAC contractor,3.9,21
,Farley Cooling Masters,"1014 Manhattan Ave, Brooklyn, NY 11222",9294163840,,,,,https://farleycoolingmasters.com/,HVAC contractor,3.8,4
,YMGI New York Ductless Mini Split Air Conditioner and Heat Pumps,"2883 Atlantic Ave, Brooklyn, NY 11207",9293654180,techsp@ymgigroup.com,,,,http://ymgihvacsupply.com,Air conditioning store,3.7,9
,Interstate Air Conditioning & Heating,"701 Lehigh Ave, Union, NJ 07083",9084977793,info@interstateair.com,,,,https://www.interstateair.com/furnace-ac-repair-union-nj/,HVAC contractor,3.5,8
,Alexander’s Proficient Heating & Cooling,"191 Sands St, Brooklyn, NY 11201",3477254068,alexandersphc@gmail.com,,,,https://alexandersphc.wixsite.com/proficienthvac,HVAC contractor,3.2,20
,2021 Great HVAC Repairs,"148 Franklin St, New York, NY 10013",6468590171,,,,,https://www.greathvacrepairs.com/,HVAC contractor,3,2
,New York PTAC Services.,"370 Central Prk W 2nd floor, New York, NY 10025",5164000227,info@newyorkptac.com,,,,https://newyorkptac.com/,HVAC contractor,3,2
,Master Cooling & Heating Manhattan,"354 W 44th St #6, New York, NY 10036",3474082994,info@hvacsuperiorservices.com,,,,https://hvacsuperiorservices.com/manhattan-ny/,HVAC contractor,3,2
,Master Group HVAC,"80 Liberty St, New York, NY 10005",9294700696,mastergroupnj@gmail.com,,,,https://mastergrouphvac.com/,HVAC contractor,2.3,6
,IndoorAirQ by EIN Healthcare,"40 Worth St 10th floor, New York, NY 10013",8008904266,contact@indoorairq.com,,,,https://www.indoorairq.com/,HVAC contractor,,
,NEWYORK HVAC SERVICE NYC.,"350 7th Ave #201, New York, NY 10001",5168201003,info@hvacinnyc.com,,,,https://www.hvacinnyc.com/,HVAC contractor,,
,Holbrook Heating & Air Conditioning,"3140 Sweet Rd, Jamesville, NY 13078",3156107858,info@holbrookheating.com,,,,https://www.holbrookheating.com/,,,
,NewYork PTAC Services NYC.,"2658 Broadway 4th floor, New York, NY 10025",6316020125,info@ptacinny.com,,,,https://ptacinny.com/,HVAC contractor,,
,NY Air Conditioning Bronx,"918 Pelham Pkwy S, Bronx, NY 10462",9145434254,d12c50f7cfde4bb3948feb70294d4245.protect@withheldforprivacy.com,,,,https://nyairconditioningbronx.com/,HVAC contractor,,
,HI TECH NYC,"585 North Ave 3rd floor, New Rochelle, NY 10801",9144400185,info@hitechhvacnyc.com,,,,https://hitechhvacnyc.com/,HVAC contractor,,
,"Grasshopper Heating, Cooling, Plumbing & Electrical","16 Fairchild Square, Clifton Park, NY 12065",5185417979,info@gograsshopper.com,,,,https://gograsshopper.com/,,,
,EJS New York,"1 Pennsylvania Plaza Suite 3301, New York, NY 10119",5167479477,sales.ny@ejsnewyork.com,,,,https://ejsnewyork.com/,Air conditioning repair service,,
,Daikin Comfort Technologies Northeast,"1 Jori Ln, Cedar Knolls, NJ 07927",9735387161,gustavo.peres@daikincomfort.com,,,,https://daikinnortheast.com/,,,
,"Hummingbird Heating, Cooling, Plumbing & Electric","120 Arterial Rd, Syracuse, NY 13206",3153999962,info@callhummingbird.com,,,,https://callhummingbird.com/,,,
,American HVAC Corp – Top HVAC Contractor NYC,"368 9th Ave, New York, NY 10001",3473829030,info@americanhvaccorp.com,,,,https://americanhvac.nyc/locations/manhattan-ny/,,,
,Viva HVAC Inc.,"445 W 19th St, New York, NY 10011",6466443324,info@vivahvac.com,,,,http://www.vivahvac.com/,Air conditioning contractor,,
,USA Home Adviser,"67 West St, Brooklyn, NY 11222",2016879276,support@usahomeadviser.com,,,,http://www.usahomeadviser.com/,HVAC contractor,,
